rank,name,artist,year,pop_artist,artist_followers,available_market,pop_track,acousticness,danceability,duration_ms,energy,instrumentalness,liveness,loudness,speechiness,tempo,time_signature,valence,lyrics
4,I Gotta Feeling,The Black Eyed Peas,2009,82.0,6039177.0,2.0,71.0,0.0873,0.743,289133.0,0.766,0.0,0.509,-6.375,0.0265,127.96,4.0,0.61,"I got a feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night A feeling That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night  A feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night A feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night Fee-  Tonight's the night, let's live it up I got my money, let's spend it up I feel- Go out and smash it like oh my God Jump off that sofa, let's kick it off I feel- I know that we'll have a ball If we get down and go out and just lose it all I feel stressed out, I wanna let it go Let's go way out, spaced out, and losin' all control Fill up my cup, mazel tov Look at her dancin', just take it off I feel- Let's paint the town, we'll shut it down Let's burn the roof And then we'll do it again I feel- Let's do it, let's do it, let's do it, let's do it And do it, and do it, let's live it up And do it, and do it, and do it, do it, do it Let's do it, let's do it, let's do it  'Cause I got a feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night A feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night Fee-  Tonight's the night Hey Let's live it up Let's live it up I got my money I'm paying Let's spend it up Let's spend it up Go out and smash it Smash it Like oh my God Like oh my God Jump off that sofa Come on, let's kick it off Fill up my cup Drank Mazel tov L'chaim Look at her dancin' Move it, move it, just take it off Let's paint the town Paint the town We'll shut it down Shut it down Let's burn the roof And then we'll do it again Let's do it, let's do it, let's do it, let's do it And do it, and do it, let's live it up And do it, and do it, and do it, do it, do it Let's do it, let's do it, let's do it, do it, do it, do it  Here we come, here we go, we gotta rock Easy come, easy go, now we on top Fill the shot, body rock, rock it don't stop Round and round, up and down, around the clock Monday, Tuesday, Wednesday and Thursday Do it Friday, Saturday, Saturday to Sunday Do it Weekend get-get-get with us, you know what we say Party every day, p-p-p-party every day  And I'm feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night A feeling Woo-hoo That tonight's gonna be a good night That tonight's gonna be a good night That tonight's gonna be a good, good night Woo-hoo"
5,Love Story,Taylor Swift,2009,93.0,42995051.0,2.0,67.0,0.17,0.618,235267.0,0.741,0.0,0.0822,-3.95,0.031,118.984,4.0,0.296,"We were both young when I first saw you I close my eyes, and the flashback starts I'm standing there On a balcony in summer air See the lights, see the party, the ball gowns See you make your way through the crowd And say, ""Hello"" Little did I know  That you were Romeo, you were throwing pebbles And my daddy said, ""Stay away from Juliet"" And I was crying on the staircase Begging you, ""Please don't go,"" and I said  Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say ""Yes""  So I sneak out to the garden to see you We keep quiet, 'cause we're dead if they knew So close your eyes Escape this town for a little while, oh, oh 'Cause you were Romeo, I was a scarlet letter And my daddy said, ""Stay away from Juliet"" But you were everything to me I was begging you, ""Please don't go,"" and I said  Romeo, take me somewhere we can be alone I'll be waiting, all there's left to do is run You'll be the prince and I'll be the princess It's a love story, baby, just say ""Yes"" Romeo, save me, they're trying to tell me how to feel This love is difficult, but it's real Don't be afraid, we'll make it out of this mess It's a love story, baby, just say ""Yes""  Oh, oh  I got tired of waiting Wondering if you were ever coming around My faith in you was fading When I met you on the outskirts of town  And I said, ""Romeo, save me, I've been feeling so alone I keep waiting for you but you never come Is this in my head? I don't know what to think"" He knelt to the ground and pulled out a ring, and said ""Marry me, Juliet, you'll never have to be alone I love you, and that's all I really know I talked to your dad, go pick out a white dress It's a love story, baby, just say 'Yes'""  Oh, oh, oh Oh, oh, oh 'Cause we were both young when I first saw you"
6,Right Round,Flo Rida,2009,81.0,8200808.0,129.0,73.0,0.009,0.72,204640.0,0.672,0.0,0.232,-6.852,0.0551,124.986,4.0,0.705,"You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down  Hey, walk out of the house with my swagger Hop in, there we go, I got places to go People to see, time is precious I look at my Cartier, outta control Just like my mind where I'm goin' No women, no shorties, no nothin' but clothes No stoppin' now, my Pirellis on roll I like my jewelry that's always on gold I know the storm is comin' My pockets keep tellin' me it's gonna shower Call up my homies It’s on and poppin tonight cause it’s meant to be ours We keep a fadeaway shot Cause we be ballin', it's platinum Patron that be ours Lil mama, I owe you just like the flowers Girl, you the truth with all of that goody power, 'cause  You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down From the top of the pole I watch her go down She got me throwing my money around Ain't nothing more beautiful to be found It's going down, down From the top of the pole I watch her go down She got me throwing my money around Ain't nothing more beautiful to be found it's going down, down  Heeeey! Shawty must know I'm the man My money love her like a number one fan Don't open my mouth, let her talk to my bands My Benjamin Frank-a-lins A couple of grands, I got rubberbands My paper planes making her dance Get dirty all night, that's part of my plan We building castles that's made out of sand She's amazing, her fire blazing, hotter than cajun Girl won't you move a lil' closer? Time to get paid, it's maximum wage That body belongs on a poster I'm in a daze, that bottom is waving at me, like dammit I know ya Doing a show like a gun out of holster Tell me whatever then I'll be your chauffeur 'Cause You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down  From the top of the pole I watch her go down She got me throwing my money around Ain't nothing more beautiful to be found It's going down, down From the top of the pole I watch her go down She got me throwing my money around Ain't nothing more beautiful to be found It's going down, down  Yeah! I'm spending my money I'm outta control Somebody help me She's taking my bank roll But I'm king of the club And I'm wearing the crown Popping these bottles, touching these models Watching they asses go Down, down, down You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down You spin my head right round, right round When you go down, when you go down, down"
7,I'm Yours,Jason Mraz,2009,76.0,6215843.0,178.0,79.0,0.595,0.686,242187.0,0.457,0.0,0.105,-8.322,0.0468,150.953,4.0,0.718,"Well you done done me in; you bet I felt it I tried to be chill but you're so hot that I melted I fell right through the cracks Now I'm trying to get back Before the cool done run out I'll be giving it my bestest Nothing's going to stop me but divine intervention I reckon it's again my turn to win some or learn some  But I won't hesitate no more, no more It cannot wait, I'm yours  Well open up your mind and see like me Open up your plans and damn you're free Look into your heart and you'll find Love, love, love, love Listen to the music of the moment, people dance and sing We're just one big family And it's our God-forsaken right to be Loved, love, love, love, loved So I won't hesitate no more, no more It cannot wait, I'm sure There's no need to complicate Our time is short This is our fate, I'm yours  Do you want to come on scootch on over closer, dear And I will nibble your ear  I've been spending way too long checking my tongue in the mirror And bending over backwards just to try to see it clearer But my breath fogged up the glass And so I drew a new face and I laughed I guess what I be saying is there ain't no better reason To rid yourself of vanities and just go with the seasons It's what we aim to do Our name is our virtue  But I won't hesitate no more, no more It cannot wait – I'm yours Well open up your mind and see like me I won't hesitate Open up your plans and damn you're free No more, no more Look into your heart and you'll find It cannot wait The sky is yours I'm sure So please don't, please don't, please don't No need to complicate There's no need to complicate Our time is short 'Cause our time is short This is This oh, this oh, this is our fate our fate I'm yours"
8,Single Ladies (Put a Ring on It),Beyoncé,2009,85.0,28660345.0,133.0,64.0,0.0383,0.426,193213.0,0.584,0.0,0.188,-5.293,0.296,193.437,4.0,0.272,"All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies Now put your hands up  Up in the club club, just broke up up I’m doing my own little thing Decided to dip dip, but now you wanna trip trip 'Cause another brother noticed me I’m up on him him, he up on me me Don’t pay him any attention Cried my tears tears, for three good years years You can’t be mad at me  'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh 'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it I got gloss on my lips lips, a man on my hips hips Hold me tighter than my Deréon jeans Acting up up, drink in my cup cup I can't care less what you think I need no permission, did I mention? Don’t pay him any attention 'Cause you had your turn turn But now you gon' learn What it really feels like to miss me  'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh 'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh  Don't treat me to the things of the world I’m not that kind of girl Your love is what I prefer, what I deserve Here’s a man that makes me, then takes me And delivers me to a destiny, to infinity and beyond Pull me into your arms Say I’m the one you want If you don’t, you’ll be alone And like a ghost, I’ll be gone All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies All the single ladies Now put your hands up Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh Whoa, oh, oh, oh, oh-oh, oh, oh, oh, oh, oh, oh Whoa, oh, oh, oh  'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it Whoa, oh, oh, oh 'Cause if you like it, then you shoulda put a ring on it If you like it, then you shoulda put a ring on it Don’t be mad once you see that he want it If you like it, then you shoulda put a ring on it Whoa, oh, oh"
9,Heartless,Kanye West,2009,97.0,15018649.0,177.0,80.0,0.0515,0.79,211000.0,0.647,0.0,0.248,-5.983,0.136,87.999,4.0,0.654,"In the night, I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?  How could you be so Cold as the winter wind when it breeze, yo? Just remember that you talkin' to me though You need to watch the way you talkin' to me, yo I mean, after all the things that we been through I mean, after all the things we got into Ayo, I know of some things that you ain't told me Ayo, I did some things but that's the old me And now you wanna get me back and you gon' show me So you walk around like you don't know me You got a new friend, well, I got homies But in the end, it's still so lonely  In the night, I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless? How could you be so Dr. Evil? You're bringin' out a side of me that I don't know I decided we wasn't gon' speak so Why we up 3 AM on the phone? Why do she be so mad at me fo'? Homie, I don't know, she's hot and cold I won't stop, won't mess my groove up ‘Cause I already know how this thing go You run and tell your friends that you're leavin' me They say that they don't see what you see in me You wait a couple of months, then you gon' see You'll never find nobody better than me  In the night, I hear 'em talk Me The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? Oh, how could you be so heartless?  Talk and talk and talk and talk Baby, let's just knock it off They don't know what we been through They don't know 'bout me and you So I got somethin' new to see And you just gon' keep hatin' me And we just gon' be enemies I know you can't believe I could just leave it wrong And you can't make it right I'm gon' take off tonight into the night In the night, I hear 'em talk The coldest story ever told Somewhere far along this road He lost his soul to a woman so heartless How could you be so heartless? How, how? Oh, how could you be so heartless?  On and on and on and on And on and, and on and on and on"
10,Gives You Hell,The All-American Rejects,2009,69.0,2160036.0,3.0,71.0,0.0159,0.718,213107.0,0.691,0.0,0.0627,-6.44,0.0387,100.008,4.0,0.552,"I wake up every evening With a big smile on my face And it never feels out of place And you're still probably working At a nine to five pace I wonder how bad that tastes  When you see my face, hope it gives you hell, hope it gives you hell When you walk my way, hope it gives you hell, hope it gives you hell  Now where's your picket fence, love? And where's that shiny car? And did it ever get you far? You never seemed so tense, love I've never seen you fall so hard Do you know where you are?  And truth be told, I miss you And truth be told, I'm lying  When you see my face, hope it gives you hell, hope it gives you hell When you walk my way, hope it gives you hell, hope it gives you hell If you find a man that's worth a damn and treats you well Then he's a fool, you're just as well, hope it gives you hell I hope it gives you hell Tomorrow, you'll be thinking to yourself ""Yeah, where did it all go wrong?"" But the list goes on and on  And truth be told, I miss you And truth be told, I'm lying  When you see my face, hope it gives you hell, hope it gives you hell When you walk my way, hope it gives you hell, hope it gives you hell When you find a man that's worth a damn and treats you well Then he's a fool, you're just as well, hope it gives you hell  Now, you'll never see what you've done to me You can take back your memories, they're no good to me And here's all your lies, you can look me in the eyes With the sad, sad look that you wear so well When you see my face, hope it gives you hell, hope it gives you hell When you walk my way, hope it gives you hell, hope it gives you hell When you find a man that's worth a damn and treats you well Then he's a fool, you're just as well, hope it gives you hell When you see my face, hope it gives you hell, hope it gives you hell Hope it gives you hell! When you walk my way, hope it gives you hell, hope it gives you hell Hope it gives you hell When you hear this song and you sing along, no you never tell No you never tell Then you're the fool, I'm just as well, hope it gives you hell Hope it gives you hell  When you hear this song, I hope that it will give you hell Give you hell You can sing along, I hope that it puts you through hell"
11,You Belong with Me,Taylor Swift,2009,93.0,42995051.0,2.0,68.0,0.162,0.687,231133.0,0.783,1.35e-05,0.114,-4.44,0.0386,129.964,4.0,0.443,"You're on the phone with your girlfriend, she's upset She's going off about something that you said 'Cause she doesn't get your humor like I do I'm in the room, it's a typical Tuesday night I'm listening to the kind of music she doesn't like And she'll never know your story like I do  But she wears short skirts, I wear T-shirts She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time  If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me, you belong with me  Walking the streets with you and your worn-out jeans I can't help thinking this is how it ought to be Laughing on a park bench, thinking to myself Hey, isn't this easy? And you've got a smile that could light up this whole town I haven't seen it in a while since she brought you down You say you're fine, I know you better than that Hey, whatcha doing with a girl like that? She wears high heels, I wear sneakers She's Cheer Captain and I'm on the bleachers Dreaming about the day when you wake up and find That what you're looking for has been here the whole time  If you could see that I'm the one who understands you Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time how could you not know, baby? You belong with me, you belong with me  Oh, I remember you driving to my house In the middle of the night I'm the one who makes you laugh When you know you're 'bout to cry And I know your favorite songs And you tell me 'bout your dreams Think I know where you belong Think I know it's with me  Can't you see that I'm the one who understands you Been here all along, so why can't you see? You belong with me Standing by and waiting at your back door All this time how could you not know, baby? You belong with me, you belong with me You belong with me Have you ever thought just maybe You belong with me? You belong with me"
12,Dead and Gone,T.I. featuring Justin Timberlake,2009,77.0,3863508.0,178.0,67.0,0.0402,0.713,299747.0,0.746,0.0,0.601,-4.99,0.259,135.021,4.0,0.47,"Ayy, let me kick it to you right quick, man Not on some gangsta shit, man, on some real shit Anybody done been through the same thing I'm sure you feel the same way Big Phil, this for you, pimpin'  Ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone And ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone, hey  Ever had one of them days wish you woulda stayed home Run into a group of niggas who gettin' they hate on? You walk by, they get wrong You reply, then shit get blown Way outta proportion, way past discussion Just you against them, pick one, then rush him Figure you get jumped, hell, that's nothin' They don't wanna stop there, now they bustin' Now you gushin', ambulance rushin' you To the hospital with a bad concussion Plus you hit four times, bullet hit yo' spine Paralyzed waist-down, now you're wheelchair-bound Never mind that now, you lucky to be alive Just think, it all started, you fussin' with three guys Now your pride in the way, but your pride is the way You could fuck around, get shot, die any day Niggas die everyday, all over bullshit Dope money, dice game, ordinary hood shit Could this be ‘cause of hip hop music? Or did the ones with the good sense not use it? Usually niggas don't know what to do when Their back against the wall, so they just start shootin' For red or for blue or for blow, I guess From Bankhead up to yo projects No more stress, now I'm straight Now I get it, now I take Time to think before I make Mistakes just for my family's sake That part of me left yesterday The heart of me is strong today No regrets, I'm blessed to say The old me dead and gone away  Ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone And ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone, hey  I ain't never been scared, I lived through tragic situation Coulda been dead lookin' back at it Most of that shit didn't even have to happen But you don't think about it when you out there trappin' In apartments, hangin', smokin' and rappin' Niggas start shit, next thing you know, we cappin' Get locked up, then didn't even get mad Now think about, damn, what a life I had! Most of that shit, look back, just laugh Some shit, still look back, get sad Maybe my homeboy still be around Had I not hit the nigga in the mouth that time I won that fight, I lost that war I can still see my nigga walkin' out that door Who'da thought I'd never see Philant no more? Got enough dead homies, I don't want no more Cost a nigga his jaw, cost me more I'da took that ass-whoopin' now for sure Now, think before I risk my life Take them chances to get my stripes A nigga put his hands on me, alright Otherwise, stand there, talk shit all night 'Cause I hit you, and you sue me I shoot you, get locked up, who? Me? No more stress, now I'm straight Now I get it, now I take Time to think before I make Mistakes just for my family's sake That part of me left yesterday The heart of me is strong today No regrets, I'm blessed to say The old me dead and gone away  Ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone And ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone, hey  I turn my head to the East I don't see nobody by my side I turn my head to the West Still nobody in sight So I turn my head to the North Swallow that pill that they call pride The old me is dead and gone But the new me will be alright I turn my head to the East I don't see nobody by my side I turn my head to the West Still nobody in sight So I turn my head to the North Swallow that pill that they call pride The old me is dead and gone But the new me will be alright 'cause Ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone And ohh, I've been travelin' on this road too long Too long Just tryin' to find my way back home Back home The old me is dead and gone, dead and gone, hey"
13,You Found Me,The Fray,2009,72.0,3406869.0,178.0,73.0,0.0187,0.338,241853.0,0.803,0.0,0.136,-5.412,0.0413,151.994,4.0,0.4,"I found God On the corner of First and Amistad Where the west Was all but won All alone Smoking his last cigarette I said, ""Where you been?"" He said, ""Ask anything"" Where were you When everything was falling apart? All my days Were spent by a telephone That never rang And all I needed was a call That never came To the corner of First and Amistad  Lost and insecure You found me, you found me Lying on the floor Surrounded, surrounded Why'd you have to wait? Where were you? Where were you? Just a little late You found me, you found me In the end Everyone ends up alone Losing her The only one who's ever known Who I am Who I'm not, and who I wanna be No way to know How long she will be next to me  Lost and insecure You found me, you found me Lying on the floor Surrounded, surrounded Why'd you have to wait? Where were you? Where were you? Just a little late You found me, you found me  For early morning The city breaks And I've been calling For years and years and years and years And you never left me no messages You never send me no letters You got some kind of nerve Taking all I want Lost and insecure You found me, you found me Lying on the floor Where were you? Where were you? Lost and insecure You found me, you found me Lying on the floor Surrounded, surrounded Why'd you have to wait? Where were you? Where were you? Just a little late You found me, you found me  Why'd you have to wait To find me? To find me?"
14,Use Somebody,Kings of Leon,2009,77.0,4810876.0,176.0,75.0,0.00552,0.276,230760.0,0.715,0.000417,0.201,-5.356,0.0432,137.028,4.0,0.173,"I've been roamin' around, always lookin' down at all I see Painted faces fill the places I can't reach You know that I could use somebody You know that I could use somebody Someone like you and all you know and how you speak Countless lovers under cover of the street You know that I could use somebody You know that I could use somebody  Someone like you  Off in the night, while you live it up I'm off to sleep Wagin' wars to shape the poet and the beat I hope it's gonna make you notice I hope it's gonna make you notice  Someone like me Someone like me Someone like me Somebody  I'm ready now I'm ready now I'm ready now I'm ready now I'm ready now I'm ready now I'm ready now  Someone like you Somebody Someone like you Somebody Someone like you Somebody  I've been roamin' around, always lookin' down at all I see"
15,Knock You Down,Keri Hilson featuring Kanye West and Ne-Yo,2009,68.0,1533858.0,2.0,65.0,0.00952,0.588,326187.0,0.877,0.0,0.171,-4.78,0.16,155.165,4.0,0.645,"Haha, not again Oh, this ain't supposed to happen to me  Keep rocking, and keep knocking Whether you Louboutin it up or Reebokin' You see the hate that they're serving on a platter So what we gonna have, dessert or disaster?  I never thought I'd be in love like this When I look at you, my mind goes on a trip Then you came in and knocked me on my face Feels like I'm in a race, but I already won first place I never thought I'd fall for you as hard as I did As hard as I did, yeah You got me thinking 'bout our life, our house, our kids, yeah Every morning, I look at you and smile 'Cause boy, you came around And you knocked me down, knocked me down  Sometimes, love comes around Love comes around, love comes around And it knocks you down Just get back up when it knocks you down, knocks you down Sometimes, love comes around And it knocks you down Just get back up when it knocks you down, knocks you down I never thought I'd hear myself say Say, mmm ""Y'all go 'head"" Oh ""I think I'm gonna kick it with my girl today"" Kick it with my girl today I used to be commander-in-chief On my pimp shit, flying high Flying high 'Til I met this pretty little missile Oh That shot me out the sky Oh, shot me out the sky, uhh Hit, so now, I'm crashing Don't know how it happened But I know it feels so good Said if I could go back and Make it happen faster Don't you know I would, baby, if I could? Oh Miss Independent To the fullest The load never too much, she helping me pull it She shot the bullet that ended that life Oh I swear to you, the pimp in me just died tonight Girl, sometimes, love...  Sometimes, love comes around Ayy Love comes around, love comes around Oh, it comes around And it knocks you down Hey, hey Just get back up when it knocks you down, knocks you down Ooh, when it knocks you down, oh Hey Sometimes, love comes around Ooh-ooh, yeah, comes around And it knocks you down Oh, whoa Just get back up when it knocks you down, knocks you down When it knocks you down, knocks you down Tell me now, can you make it past your Caspers? So we can finally fly off into NASA You was always the cheerleader of my dreams That seemed to only date the head of football teams And I was the class clown that always kept you laughing We were never meant to be, baby; we just happened So, please, don't mess up the trick ""Hey Young World,"" I'm the new Slick Rick They say I move too quick, but we can't let this moment pass us Let the hourglass pass right into ashes Let the wind blow the ash right before my glasses So I wrote this love letter right before my classes How could a goddess ask someone that's only average for advice? OMG, you listen to that bitch? Woe is me, baby, this is tragic 'Cause we had it, we was magic I was flying; now, I'm crashing This is bad, real bad—Michael Jackson Now I'm mad, real mad—Joe Jackson You should leave your boyfriend now, I'ma ask him So you gotta take the good with the bad, happy and the sad And let it bring a better future than I had in the past Oh, 'cause I don't wanna make the same mistakes I did I don't wanna fall back on my face again Whoa, whoa Mmh-mmh, I'll admit it, I was scared to answer love's call Whoa, whoa And if it hits better make it worth the fall When it comes around, hey Sometimes love comes around Love comes around, love comes around Comes around, whoa And it knocks you down Just get back up when it knocks you down, knocks you down Get back up when it knocks you down Sometimes love comes around When love comes around When love comes around And it knocks you down Eh-eh, oh-oh Just get back up when it knocks you down Eh-eh, oh-oh Knocks you down Knocks you down Won't see it coming when it happens Eh But when it happens Uh-huh You're gonna feel it, let me tell you now You see when love comes and knocks you down Oh, no, when it knocks you down Won't see it coming when it happens Oh oh But when it happens Ooh You're gonna feel it, let me tell you now Tell you now You see when love comes and knocks you down Yeah"
16,Blame It,Jamie Foxx featuring T-Pain,2009,69.0,849764.0,173.0,64.0,0.0782,0.673,289747.0,0.614,0.0,0.139,-5.426,0.103,176.052,4.0,0.362,"Deep Blame it on the Goose, gotcha feelin' loose Blame it on the 'Trón, got you in the zone Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-a-a-a-a-alcohol  Aye, she said she usually don't don't But I know that she frontin' Cause shawty know what she want But she don't wanna seem like she easy I hear you saying what you won't do won't do But you know we're probably gon' do gon' do What you been fiendin' deep insi-i-i-ide Don't let u-u-up now  Girl what you drinkin'? Gon' let it sink in Here for the weekend, thinkin' we can See where we could be if we press fast forward Just one more round, if you’re down, I’m pouring Fill another cup up, feelin' on your butt, what You don't even care now, I was unaware how Fine you was before my buzz set in My buzz set in Blame it on the Goose, gotcha feelin' loose Blame it on the 'Trón, got you in the zone Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-alcohol Blame it on the vodka, blame it on the Henny Blame it on the blue tap got you feeling dizzy Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-a-a-a-a-alcohol  Oopsie, she spilled some drink on me And now I'm knowin' she tipsy She put her body on me And she keeps staring me right in my eyes No tellin' what I'm gon' do Baby I would rather show you What you been missin' in your li-i-i-ife When I get insi-i-i-ide  Girl what you drinkin'? Gon' let it sink in Here for the weekend, thinkin' we can See where we could be if we press fast forward Just one more round, if you’re down, I'm pourin' Fill another cup up, feelin' on your butt, what You don't even care now, I was unaware how Fine you was before my buzz set in My buzz set in Blame it on the Goose, gotcha feelin' loose Blame it on the 'Trón, got you in the zone Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-alcohol Blame it on the vodka, blame it on the Henny Blame it on the blue tap got you feeling dizzy Blame it on the a-a-a-a-a-alcohol Hey! Blame it on the a-a-a-a-a-a-a-a-a-alcohol T-Pain  Girl, I know you feel good, just like you look Couple more shots, you open up like a book I ain't trippin' Cause I'ma read ya Shawty I ain't trippin' I just wanna please ya I'ma take a shot of Nuvo, shawty then you know It's going down, we can go and kick it like judo Judo You know what I mean Shawty got drunk, thought it all was a dream So I made her say ""ah, ah-ah"" Now she got her hand on my leg Got my seats all wet in my ride All wet in my ride All over my ride All over my ride She look me dead in the eye, eye-eye Then my pants got bigger, she already knew what to figure Had her lookin' at her boyfriend like, ""Fuck that nigga!"" Blame it on the Goose, gotcha feelin' loose Blame it on the 'Trón, got you in the zone Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-alcohol Blame it on the vodka, blame it on the Henny Blame it on the blue tap got you feeling dizzy Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-a-a-a-a-alcohol  Now to the ballers poppin' bottles with they Henny in they cups Screamin', ""Money ain't a thang"", if it ain't, throw it up In the sky In the sky And hold your drinks up high High And to my independent mamas who can buy they own bottles If you lookin' like a model, when them broke fellas holla Tell 'em, ""Bye"" Bye And hold your drinks up high  You can blame it on the Goose, gotcha feelin' loose Blame it on the 'Trón, got you in the zone Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-alcohol Blame it on the vodka, blame it on the Henny Blame it on the blue tap got you feeling dizzy Blame it on the a-a-a-a-a-alcohol Blame it on the a-a-a-a-a-a-a-a-a-alcohol"
